2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 15 1 sinabc3
presolving:
(round 1, fast)       225 del vars, 225 del conss, 0 add conss, 225 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 225 deleted vars, 225 deleted constraints, 0 added constraints, 225 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 450 variables (0 bin, 0 int, 0 impl, 450 cont) and 255 constraints
     30 constraints of type <linear>
    225 constraints of type <nonlinear>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 55.0s|  1800 |  1799 |161788 |  88.2 |    41M |  45 |1125 | 255 |1173 |  51k|  9 |   0 |   0 | 3.207735e+01 | 9.911738e+01 | 208.99%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 57.9s|  1900 |  1899 |170732 |  88.3 |    44M |  45 |1125 | 255 |1092 |  54k|  6 |   0 |   0 | 3.219724e+01 | 9.911738e+01 | 207.84%| unknown
 61.3s|  2000 |  1999 |181817 |  89.4 |    44M |  45 |1125 | 255 |1109 |  58k| 10 |   0 |   0 | 3.219724e+01 | 9.911738e+01 | 207.84%| unknown
 64.2s|  2100 |  2099 |191065 |  89.6 |    46M |  45 |1125 | 255 |1188 |  61k|  9 |   0 |   0 | 3.219724e+01 | 9.911738e+01 | 207.84%| unknown
 67.3s|  2200 |  2199 |200087 |  89.6 |    47M |  45 |1125 | 255 |1183 |  64k| 10 |   0 |   0 | 3.234733e+01 | 9.911738e+01 | 206.42%| unknown
 70.1s|  2300 |  2299 |208508 |  89.4 |    48M |  45 |1125 | 255 |1092 |  67k|  9 |   0 |   0 | 3.241084e+01 | 9.911738e+01 | 205.82%| unknown
 73.8s|  2400 |  2399 |217456 |  89.4 |    50M |  45 |1125 | 255 |1151 |  70k|  9 |   0 |   0 | 3.241084e+01 | 9.911738e+01 | 205.82%| unknown
 76.5s|  2500 |  2499 |226043 |  89.2 |    51M |  45 |1125 | 255 |1053 |  72k|  1 |   0 |   0 | 3.241084e+01 | 9.911738e+01 | 205.82%| unknown
 79.5s|  2600 |  2599 |234612 |  89.1 |    51M |  45 |1125 | 255 |1182 |  75k|  7 |   0 |   0 | 3.241084e+01 | 9.911738e+01 | 205.82%| unknown
 82.6s|  2700 |  2699 |243144 |  89.0 |    53M |  45 |1125 | 255 |1041 |  77k|  5 |   0 |   0 | 3.241084e+01 | 9.911738e+01 | 205.82%| unknown
 85.5s|  2800 |  2799 |251338 |  88.7 |    54M |  45 |1125 | 255 |1006 |  80k|  5 |   0 |   0 | 3.241084e+01 | 9.911738e+01 | 205.82%| unknown
 88.3s|  2900 |  2899 |259437 |  88.4 |    54M |  45 |1125 | 255 |1135 |  83k| 10 |   0 |   0 | 3.260131e+01 | 9.911738e+01 | 204.03%| unknown
 91.4s|  3000 |  2999 |269208 |  88.8 |    57M |  45 |1125 | 255 |1212 |  85k|  6 |   0 |   0 | 3.260131e+01 | 9.911738e+01 | 204.03%| unknown
 94.2s|  3100 |  3099 |278717 |  89.0 |    58M |  45 |1125 | 255 |1097 |  88k|  6 |   0 |   0 | 3.290839e+01 | 9.911738e+01 | 201.19%| unknown
 97.5s|  3200 |  3199 |289459 |  89.5 |    59M |  45 |1125 | 255 |1011 |  91k|  5 |   0 |   0 | 3.291682e+01 | 9.911738e+01 | 201.11%| unknown
  100s|  3300 |  3299 |298805 |  89.7 |    60M |  45 |1125 | 255 |1189 |  94k|  1 |   0 |   0 | 3.291682e+01 | 9.911738e+01 | 201.11%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  104s|  3400 |  3399 |309849 |  90.3 |    61M |  45 |1125 | 255 |1202 |  97k|  7 |   0 |   0 | 3.295645e+01 | 9.911738e+01 | 200.75%| unknown
  107s|  3500 |  3499 |320633 |  90.8 |    63M |  45 |1125 | 255 |1218 | 101k|  8 |   0 |   0 | 3.313086e+01 | 9.911738e+01 | 199.17%| unknown
  110s|  3600 |  3599 |329779 |  90.8 |    64M |  45 |1125 | 255 |1112 | 103k|  9 |   0 |   0 | 3.315454e+01 | 9.911738e+01 | 198.96%| unknown
  113s|  3700 |  3699 |340485 |  91.2 |    67M |  45 |1125 | 255 |1086 | 107k|  5 |   0 |   0 | 3.342799e+01 | 9.911738e+01 | 196.51%| unknown
  116s|  3800 |  3799 |349807 |  91.3 |    68M |  45 |1125 | 255 |1150 | 110k|  8 |   0 |   0 | 3.342799e+01 | 9.911738e+01 | 196.51%| unknown
  120s|  3900 |  3899 |359546 |  91.4 |    68M |  45 |1125 | 255 |1126 | 113k|  7 |   0 |   0 | 3.342799e+01 | 9.911738e+01 | 196.51%| unknown
  123s|  4000 |  3999 |368388 |  91.4 |    71M |  45 |1125 | 255 |1035 | 115k| 11 |   0 |   0 | 3.342799e+01 | 9.911738e+01 | 196.51%| unknown
  126s|  4100 |  4099 |380736 |  92.1 |    72M |  45 |1125 | 255 | 983 | 119k|  1 |   0 |   0 | 3.342799e+01 | 9.911738e+01 | 196.51%| unknown
  130s|  4200 |  4199 |393813 |  93.1 |    75M |  45 |1125 | 255 |1058 | 123k|  5 |   0 |   0 | 3.356779e+01 | 9.911738e+01 | 195.28%| unknown
  133s|  4300 |  4299 |405609 |  93.6 |    75M |  45 |1125 | 255 |1143 | 127k|  1 |   0 |   0 | 3.357280e+01 | 9.911738e+01 | 195.23%| unknown
  137s|  4400 |  4399 |415874 |  93.8 |    77M |  45 |1125 | 255 |1146 | 130k|  8 |   0 |   0 | 3.357280e+01 | 9.911738e+01 | 195.23%| unknown
  140s|  4500 |  4499 |427744 |  94.4 |    78M |  45 |1125 | 255 |1156 | 133k|  8 |   0 |   0 | 3.357280e+01 | 9.911738e+01 | 195.23%| unknown
  144s|  4600 |  4599 |439691 |  94.9 |    80M |  45 |1125 | 255 |1235 | 137k| 10 |   0 |   0 | 3.357280e+01 | 9.911738e+01 | 195.23%| unknown
  147s|  4700 |  4699 |450105 |  95.1 |    82M |  45 |1125 | 255 |1000 | 140k|  1 |   0 |   0 | 3.357280e+01 | 9.911738e+01 | 195.23%| unknown
  150s|  4800 |  4799 |460365 |  95.3 |    84M |  45 |1125 | 255 |1074 | 143k|  6 |   0 |   0 | 3.371903e+01 | 9.911738e+01 | 193.95%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  153s|  4900 |  4899 |471055 |  95.5 |    85M |  45 |1125 | 255 |1133 | 147k|  7 |   0 |   0 | 3.371903e+01 | 9.911738e+01 | 193.95%| unknown
  156s|  5000 |  4999 |480604 |  95.5 |    85M |  45 |1125 | 255 |1166 | 149k|  8 |   0 |   0 | 3.374454e+01 | 9.911738e+01 | 193.73%| unknown
  159s|  5100 |  5099 |490939 |  95.7 |    87M |  45 |1125 | 255 |1221 | 153k|  7 |   0 |   0 | 3.374454e+01 | 9.911738e+01 | 193.73%| unknown
  163s|  5200 |  5199 |502181 |  96.0 |    88M |  45 |1125 | 255 |1174 | 156k|  7 |   0 |   0 | 3.374454e+01 | 9.911738e+01 | 193.73%| unknown
  165s|  5300 |  5299 |513724 |  96.4 |    90M |  45 |1125 | 255 |1276 | 160k| 10 |   0 |   0 | 3.374454e+01 | 9.911738e+01 | 193.73%| unknown
  168s|  5400 |  5399 |524616 |  96.6 |    91M |  45 |1125 | 255 |1039 | 163k|  4 |   0 |   0 | 3.383130e+01 | 9.911738e+01 | 192.98%| unknown
  171s|  5500 |  5499 |535215 |  96.8 |    92M |  45 |1125 | 255 |1191 | 166k|  7 |   0 |   0 | 3.383130e+01 | 9.911738e+01 | 192.98%| unknown
  175s|  5600 |  5599 |546513 |  97.1 |    93M |  45 |1125 | 255 |1228 | 169k|  1 |   0 |   0 | 3.383130e+01 | 9.911738e+01 | 192.98%| unknown
  178s|  5700 |  5699 |556719 |  97.2 |    94M |  45 |1125 | 255 |1078 | 172k|  8 |   0 |   0 | 3.383130e+01 | 9.911738e+01 | 192.98%| unknown
  181s|  5800 |  5799 |568973 |  97.6 |    96M |  45 |1125 | 255 |1219 | 176k|  8 |   0 |   0 | 3.384473e+01 | 9.911738e+01 | 192.86%| unknown
  185s|  5900 |  5899 |580738 |  97.9 |    97M |  45 |1125 | 255 |1139 | 179k|  7 |   0 |   0 | 3.384473e+01 | 9.911738e+01 | 192.86%| unknown
  188s|  6000 |  5999 |591363 |  98.1 |    99M |  45 |1125 | 255 |1241 | 182k|  8 |   0 |   0 | 3.384473e+01 | 9.911738e+01 | 192.86%| unknown
  191s|  6100 |  6099 |601584 |  98.1 |   100M |  45 |1125 | 255 |1252 | 185k|  1 |   0 |   0 | 3.384473e+01 | 9.911738e+01 | 192.86%| unknown
  194s|  6200 |  6199 |612194 |  98.3 |   101M |  45 |1125 | 255 |1182 | 188k| 10 |   0 |   0 | 3.397450e+01 | 9.911738e+01 | 191.74%| unknown
  198s|  6300 |  6299 |623512 |  98.5 |   103M |  45 |1125 | 255 |1110 | 192k|  4 |   0 |   0 | 3.403588e+01 | 9.911738e+01 | 191.21%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  201s|  6400 |  6399 |634051 |  98.6 |   103M |  45 |1125 | 255 |1093 | 195k|  5 |   0 |   0 | 3.403588e+01 | 9.911738e+01 | 191.21%| unknown
  203s|  6500 |  6499 |643930 |  98.6 |   106M |  45 |1125 | 255 |1159 | 198k|  9 |   0 |   0 | 3.403588e+01 | 9.911738e+01 | 191.21%| unknown
  206s|  6600 |  6599 |654161 |  98.7 |   106M |  45 |1125 | 255 |1081 | 201k|  5 |   0 |   0 | 3.413274e+01 | 9.911738e+01 | 190.39%| unknown
  209s|  6700 |  6699 |664220 |  98.7 |   109M |  45 |1125 | 255 |1103 | 204k|  8 |   0 |   0 | 3.413274e+01 | 9.911738e+01 | 190.39%| unknown
  213s|  6800 |  6799 |676613 |  99.1 |   110M |  45 |1125 | 255 |1131 | 208k|  6 |   0 |   0 | 3.413274e+01 | 9.911738e+01 | 190.39%| unknown
  216s|  6900 |  6899 |687230 |  99.2 |   112M |  45 |1125 | 255 |1079 | 211k|  5 |   0 |   0 | 3.413274e+01 | 9.911738e+01 | 190.39%| unknown
  220s|  7000 |  6999 |700545 |  99.7 |   113M |  45 |1125 | 255 |1255 | 215k| 10 |   0 |   0 | 3.421298e+01 | 9.911738e+01 | 189.71%| unknown
  223s|  7100 |  7099 |711105 |  99.7 |   115M |  45 |1125 | 255 |1229 | 218k|  5 |   0 |   0 | 3.421298e+01 | 9.911738e+01 | 189.71%| unknown
  227s|  7200 |  7199 |724492 | 100.2 |   117M |  45 |1125 | 255 |1152 | 222k|  5 |   0 |   0 | 3.422279e+01 | 9.911738e+01 | 189.62%| unknown
  230s|  7300 |  7299 |736307 | 100.5 |   118M |  45 |1125 | 255 |1223 | 225k|  1 |   0 |   0 | 3.422279e+01 | 9.911738e+01 | 189.62%| unknown
  234s|  7400 |  7399 |747552 | 100.6 |   120M |  45 |1125 | 255 |1251 | 228k|  1 |   0 |   0 | 3.422279e+01 | 9.911738e+01 | 189.62%| unknown
  237s|  7500 |  7499 |758826 | 100.8 |   121M |  45 |1125 | 255 |1169 | 231k|  6 |   0 |   0 | 3.424616e+01 | 9.911738e+01 | 189.43%| unknown
  240s|  7600 |  7599 |769397 | 100.8 |   124M |  45 |1125 | 255 |1218 | 234k|  1 |   0 |   0 | 3.424616e+01 | 9.911738e+01 | 189.43%| unknown
  243s|  7700 |  7697 |779918 | 100.9 |   125M |  45 |1125 | 255 |1226 | 237k|  1 |   0 |   0 | 3.425804e+01 | 9.911738e+01 | 189.33%| unknown
  247s|  7800 |  7797 |792190 | 101.2 |   127M |  45 |1125 | 255 |1164 | 241k| 10 |   0 |   0 | 3.425804e+01 | 9.911738e+01 | 189.33%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  251s|  7900 |  7897 |803983 | 101.4 |   129M |  45 |1125 | 255 |1097 | 245k|  5 |   0 |   0 | 3.440331e+01 | 9.911738e+01 | 188.10%| unknown
  254s|  8000 |  7997 |816036 | 101.6 |   130M |  45 |1125 | 255 |1138 | 248k|  9 |   0 |   0 | 3.450737e+01 | 9.911738e+01 | 187.24%| unknown
  258s|  8100 |  8097 |826608 | 101.7 |   132M |  45 |1125 | 255 |1279 | 251k|  6 |   0 |   0 | 3.450737e+01 | 9.911738e+01 | 187.24%| unknown
  261s|  8200 |  8197 |838267 | 101.9 |   132M |  45 |1125 | 255 |1212 | 255k|  1 |   0 |   0 | 3.456900e+01 | 9.911738e+01 | 186.72%| unknown
  265s|  8300 |  8297 |850263 | 102.1 |   134M |  45 |1125 | 255 |1189 | 258k| 10 |   0 |   0 | 3.456900e+01 | 9.911738e+01 | 186.72%| unknown
  268s|  8400 |  8397 |861958 | 102.3 |   134M |  45 |1125 | 255 |1145 | 262k|  6 |   0 |   0 | 3.456900e+01 | 9.911738e+01 | 186.72%| unknown
  272s|  8500 |  8497 |876238 | 102.7 |   137M |  45 |1125 | 255 |1261 | 266k|  9 |   0 |   0 | 3.456900e+01 | 9.911738e+01 | 186.72%| unknown
  276s|  8600 |  8597 |886710 | 102.8 |   138M |  45 |1125 | 255 |1052 | 269k|  5 |   0 |   0 | 3.459152e+01 | 9.911738e+01 | 186.54%| unknown
  279s|  8700 |  8697 |898377 | 102.9 |   140M |  45 |1125 | 255 | 994 | 273k|  1 |   0 |   0 | 3.466540e+01 | 9.911738e+01 | 185.93%| unknown
  283s|  8800 |  8797 |910655 | 103.2 |   140M |  45 |1125 | 255 |1362 | 277k| 10 |   0 |   0 | 3.471364e+01 | 9.911738e+01 | 185.53%| unknown
  286s|  8900 |  8897 |921888 | 103.3 |   142M |  45 |1125 | 255 |1264 | 280k|  5 |   0 |   0 | 3.471364e+01 | 9.911738e+01 | 185.53%| unknown
  289s|  9000 |  8997 |932787 | 103.3 |   143M |  45 |1125 | 255 |1076 | 283k|  5 |   0 |   0 | 3.471364e+01 | 9.911738e+01 | 185.53%| unknown
  293s|  9100 |  9097 |944641 | 103.5 |   145M |  45 |1125 | 255 |1168 | 287k|  4 |   0 |   0 | 3.471364e+01 | 9.911738e+01 | 185.53%| unknown
  297s|  9200 |  9197 |957654 | 103.8 |   147M |  45 |1125 | 255 |1047 | 291k|  5 |   0 |   0 | 3.475305e+01 | 9.911738e+01 | 185.20%| unknown
  300s|  9300 |  9297 |968568 | 103.8 |   148M |  45 |1125 | 255 |1203 | 294k|  7 |   0 |   0 | 3.475305e+01 | 9.911738e+01 | 185.20%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  303s|  9400 |  9397 |979012 | 103.8 |   149M |  45 |1125 | 255 |1070 | 297k|  9 |   0 |   0 | 3.475305e+01 | 9.911738e+01 | 185.20%| unknown
  307s|  9500 |  9497 |990733 | 104.0 |   152M |  45 |1125 | 255 |1243 | 301k|  6 |   0 |   0 | 3.480463e+01 | 9.911738e+01 | 184.78%| unknown
  310s|  9600 |  9597 |  1001k| 104.1 |   154M |  47 |1125 | 255 |1180 | 304k|  8 |   0 |   0 | 3.499012e+01 | 9.911738e+01 | 183.27%| unknown
  313s|  9700 |  9697 |  1013k| 104.1 |   155M |  47 |1125 | 255 |1176 | 307k|  8 |   0 |   0 | 3.507844e+01 | 9.911738e+01 | 182.56%| unknown
  317s|  9800 |  9797 |  1024k| 104.2 |   156M |  47 |1125 | 255 |1256 | 310k|  8 |   0 |   0 | 3.512054e+01 | 9.911738e+01 | 182.22%| unknown
  320s|  9900 |  9897 |  1035k| 104.3 |   157M |  47 |1125 | 255 |1224 | 314k|  4 |   0 |   0 | 3.512054e+01 | 9.911738e+01 | 182.22%| unknown
  323s| 10000 |  9997 |  1047k| 104.4 |   158M |  47 |1125 | 255 |1110 | 317k|  6 |   0 |   0 | 3.517015e+01 | 9.911738e+01 | 181.82%| unknown
  327s| 10100 | 10097 |  1057k| 104.4 |   159M |  47 |1125 | 255 |1212 | 320k|  5 |   0 |   0 | 3.517505e+01 | 9.911738e+01 | 181.78%| unknown
  330s| 10200 | 10197 |  1068k| 104.5 |   160M |  47 |1125 | 255 |1177 | 324k|  9 |   0 |   0 | 3.517505e+01 | 9.911738e+01 | 181.78%| unknown
  334s| 10300 | 10297 |  1081k| 104.7 |   161M |  47 |1125 | 255 |1127 | 327k|  7 |   0 |   0 | 3.525359e+01 | 9.911738e+01 | 181.16%| unknown
  337s| 10400 | 10397 |  1090k| 104.6 |   163M |  47 |1125 | 255 |1181 | 330k|  4 |   0 |   0 | 3.525359e+01 | 9.911738e+01 | 181.16%| unknown
  341s| 10500 | 10497 |  1102k| 104.7 |   165M |  47 |1125 | 255 |1222 | 334k|  6 |   0 |   0 | 3.525359e+01 | 9.911738e+01 | 181.16%| unknown
  344s| 10600 | 10597 |  1114k| 104.9 |   166M |  47 |1125 | 255 |1072 | 337k|  8 |   0 |   0 | 3.525359e+01 | 9.911738e+01 | 181.16%| unknown
  348s| 10700 | 10697 |  1125k| 104.9 |   168M |  47 |1125 | 255 |1151 | 341k|  7 |   0 |   0 | 3.525359e+01 | 9.911738e+01 | 181.16%| unknown
  351s| 10800 | 10797 |  1134k| 104.8 |   168M |  47 |1125 | 255 |1209 | 343k|  8 |   0 |   0 | 3.530897e+01 | 9.911738e+01 | 180.71%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  355s| 10900 | 10897 |  1146k| 104.9 |   170M |  47 |1125 | 255 |1087 | 347k|  9 |   0 |   0 | 3.532313e+01 | 9.911738e+01 | 180.60%| unknown
  358s| 11000 | 10997 |  1158k| 105.1 |   171M |  47 |1125 | 255 |1147 | 350k|  7 |   0 |   0 | 3.532313e+01 | 9.911738e+01 | 180.60%| unknown
  362s| 11100 | 11097 |  1170k| 105.2 |   172M |  47 |1125 | 255 |1136 | 354k|  6 |   0 |   0 | 3.535390e+01 | 9.911738e+01 | 180.36%| unknown
  365s| 11200 | 11197 |  1181k| 105.3 |   174M |  47 |1125 | 255 |1103 | 358k|  7 |   0 |   0 | 3.536008e+01 | 9.911738e+01 | 180.31%| unknown
  368s| 11300 | 11297 |  1194k| 105.4 |   176M |  47 |1125 | 255 |1099 | 361k|  6 |   0 |   0 | 3.536008e+01 | 9.911738e+01 | 180.31%| unknown
  371s| 11400 | 11397 |  1206k| 105.6 |   178M |  47 |1125 | 255 |1061 | 365k|  5 |   0 |   0 | 3.541239e+01 | 9.911738e+01 | 179.89%| unknown
  374s| 11500 | 11497 |  1219k| 105.8 |   179M |  47 |1125 | 255 |1032 | 368k|  1 |   0 |   0 | 3.547711e+01 | 9.911738e+01 | 179.38%| unknown
  378s| 11600 | 11597 |  1230k| 105.8 |   181M |  47 |1125 | 255 |1204 | 372k| 10 |   0 |   0 | 3.556367e+01 | 9.911738e+01 | 178.70%| unknown
  382s| 11700 | 11697 |  1241k| 105.9 |   182M |  48 |1125 | 255 |1223 | 375k|  5 |   0 |   0 | 3.556367e+01 | 9.911738e+01 | 178.70%| unknown
  386s| 11800 | 11797 |  1255k| 106.2 |   183M |  48 |1125 | 255 |1201 | 379k| 11 |   0 |   0 | 3.556367e+01 | 9.911738e+01 | 178.70%| unknown
  390s| 11900 | 11897 |  1265k| 106.1 |   185M |  48 |1125 | 255 |1212 | 382k|  4 |   0 |   0 | 3.556367e+01 | 9.911738e+01 | 178.70%| unknown
  393s| 12000 | 11997 |  1276k| 106.1 |   187M |  48 |1125 | 255 |1208 | 385k|  8 |   0 |   0 | 3.557335e+01 | 9.911738e+01 | 178.63%| unknown
  396s| 12100 | 12097 |  1287k| 106.2 |   187M |  48 |1125 | 255 |1237 | 388k|  9 |   0 |   0 | 3.560670e+01 | 9.911738e+01 | 178.37%| unknown
  399s| 12200 | 12197 |  1296k| 106.0 |   187M |  48 |1125 | 255 |1187 | 391k|  8 |   0 |   0 | 3.560670e+01 | 9.911738e+01 | 178.37%| unknown
  402s| 12300 | 12297 |  1305k| 105.9 |   189M |  48 |1125 | 255 |1078 | 394k|  5 |   0 |   0 | 3.560670e+01 | 9.911738e+01 | 178.37%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  405s| 12400 | 12397 |  1316k| 106.0 |   189M |  48 |1125 | 255 |1173 | 397k|  6 |   0 |   0 | 3.561028e+01 | 9.911738e+01 | 178.34%| unknown
