2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 5 1 sinabc3
presolving:
(round 1, fast)       25 del vars, 25 del conss, 0 add conss, 25 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 25 deleted vars, 25 deleted constraints, 0 added constraints, 25 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 50 variables (0 bin, 0 int, 0 impl, 50 cont) and 35 constraints
     10 constraints of type <linear>
     25 constraints of type <nonlinear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.0s|   800 |   799 | 37269 |  46.3 |    11M |  18 | 125 |  36 | 143 |  23k|  1 |   1 |   0 | 3.677668e+01 | 5.495773e+01 |  49.44%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
d 3.2s|   850 |   849 | 40309 |  47.2 |conflict|  18 | 125 |  36 | 135 |  25k|  1 |   1 |   0 | 3.719296e+01 | 5.457524e+01 |  46.74%| unknown
  3.4s|   900 |   899 | 43292 |  47.9 |    12M |  18 | 125 |  36 | 201 |  27k| 10 |   1 |   0 | 3.719296e+01 | 5.457524e+01 |  46.74%| unknown
  3.8s|  1000 |   999 | 48823 |  48.6 |    13M |  18 | 125 |  36 | 193 |  30k|  9 |   1 |   0 | 3.730301e+01 | 5.457524e+01 |  46.30%| unknown
  4.2s|  1100 |  1097 | 54466 |  49.3 |    14M |  18 | 125 |  36 | 216 |  33k| 10 |   1 |   0 | 3.756421e+01 | 5.457524e+01 |  45.29%| unknown
  4.6s|  1200 |  1195 | 60028 |  49.8 |    16M |  18 | 125 |  37 | 141 |  37k|  1 |   2 |   0 | 3.769262e+01 | 5.457524e+01 |  44.79%| unknown
  5.0s|  1300 |  1295 | 65975 |  50.6 |    17M |  18 | 125 |  37 | 212 |  40k|  9 |   2 |   0 | 3.795802e+01 | 5.457524e+01 |  43.78%| unknown
  5.4s|  1400 |  1395 | 72096 |  51.3 |    18M |  19 | 125 |  37 | 232 |  44k|  9 |   2 |   0 | 3.818658e+01 | 5.457524e+01 |  42.92%| unknown
  5.7s|  1500 |  1495 | 77427 |  51.5 |    19M |  19 | 125 |  37 | 185 |  47k| 10 |   2 |   0 | 3.848594e+01 | 5.457524e+01 |  41.81%| unknown
  6.1s|  1600 |  1595 | 83780 |  52.2 |    19M |  19 | 125 |  37 | 261 |  51k|  8 |   2 |   0 | 3.854537e+01 | 5.457524e+01 |  41.59%| unknown
  6.4s|  1700 |  1695 | 89564 |  52.6 |    20M |  19 | 125 |  37 | 214 |  54k| 14 |   2 |   0 | 3.862943e+01 | 5.457524e+01 |  41.28%| unknown
  6.8s|  1800 |  1793 | 95182 |  52.8 |    22M |  22 | 125 |  37 | 165 |  58k|  8 |   2 |   0 | 3.868999e+01 | 5.457524e+01 |  41.06%| unknown
  7.2s|  1900 |  1893 |100626 |  52.8 |    22M |  22 | 125 |  37 | 225 |  61k| 10 |   2 |   0 | 3.872928e+01 | 5.457524e+01 |  40.91%| unknown
  7.5s|  2000 |  1991 |105783 |  52.8 |    23M |  22 | 125 |  37 | 165 |  64k|  7 |   2 |   0 | 3.877448e+01 | 5.457524e+01 |  40.75%| unknown
  7.9s|  2100 |  2091 |111571 |  53.0 |    25M |  22 | 125 |  37 | 162 |  67k|  1 |   2 |   0 | 3.893678e+01 | 5.457524e+01 |  40.16%| unknown
  8.3s|  2200 |  2191 |117085 |  53.1 |    26M |  22 | 125 |  37 | 222 |  70k|  8 |   2 |   0 | 3.896614e+01 | 5.457524e+01 |  40.06%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.6s|  2300 |  2289 |123112 |  53.4 |    26M |  22 | 125 |  37 | 210 |  74k|  5 |   2 |   0 | 3.897979e+01 | 5.457524e+01 |  40.01%| unknown
  9.0s|  2400 |  2389 |128660 |  53.5 |    28M |  22 | 125 |  37 | 175 |  77k|  1 |   2 |   0 | 3.906490e+01 | 5.457524e+01 |  39.70%| unknown
  9.4s|  2500 |  2489 |134350 |  53.7 |    28M |  22 | 125 |  37 | 217 |  80k|  5 |   2 |   0 | 3.908636e+01 | 5.457524e+01 |  39.63%| unknown
  9.8s|  2600 |  2589 |140919 |  54.1 |    29M |  22 | 125 |  37 | 203 |  84k| 11 |   2 |   0 | 3.915573e+01 | 5.457524e+01 |  39.38%| unknown
 10.2s|  2700 |  2689 |147319 |  54.5 |    31M |  22 | 125 |  37 | 269 |  88k| 10 |   2 |   0 | 3.924748e+01 | 5.457524e+01 |  39.05%| unknown
 10.6s|  2800 |  2789 |153341 |  54.7 |    32M |  22 | 125 |  37 | 170 |  91k|  5 |   2 |   0 | 3.942013e+01 | 5.457524e+01 |  38.45%| unknown
 11.0s|  2900 |  2885 |159100 |  54.8 |    33M |  22 | 125 |  37 | 218 |  94k|  5 |   2 |   0 | 3.942013e+01 | 5.457524e+01 |  38.45%| unknown
 11.3s|  3000 |  2983 |165360 |  55.0 |    34M |  22 | 125 |  37 | 218 |  98k|  1 |   2 |   0 | 3.951081e+01 | 5.457524e+01 |  38.13%| unknown
 11.7s|  3100 |  3083 |171359 |  55.2 |    35M |  22 | 125 |  37 | 258 | 102k| 11 |   2 |   0 | 3.962353e+01 | 5.457524e+01 |  37.73%| unknown
 12.1s|  3200 |  3177 |177512 |  55.4 |    37M |  22 | 125 |  37 | 215 | 105k|  8 |   2 |   0 | 3.963200e+01 | 5.457524e+01 |  37.71%| unknown
 12.5s|  3300 |  3275 |183103 |  55.4 |    37M |  22 | 125 |  37 | 214 | 108k|  3 |   2 |   0 | 3.970535e+01 | 5.457524e+01 |  37.45%| unknown
 12.9s|  3400 |  3373 |189197 |  55.6 |    38M |  22 | 125 |  37 | 244 | 112k| 11 |   2 |   0 | 3.981178e+01 | 5.457524e+01 |  37.08%| unknown
 13.3s|  3500 |  3469 |195172 |  55.7 |    40M |  22 | 125 |  37 | 244 | 115k| 11 |   2 |   0 | 3.985748e+01 | 5.457524e+01 |  36.93%| unknown
 13.6s|  3600 |  3567 |200836 |  55.7 |    41M |  22 | 125 |  37 | 229 | 119k|  1 |   2 |   0 | 4.000361e+01 | 5.457524e+01 |  36.43%| unknown
 14.0s|  3700 |  3665 |207142 |  55.9 |    41M |  22 | 125 |  37 | 234 | 122k|  8 |   2 |   0 | 4.011008e+01 | 5.457524e+01 |  36.06%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 14.4s|  3800 |  3757 |213215 |  56.1 |    43M |  22 | 125 |  37 | 197 | 126k|  6 |   2 |   0 | 4.014588e+01 | 5.457524e+01 |  35.94%| unknown
 14.7s|  3900 |  3857 |219080 |  56.1 |    43M |  22 | 125 |  37 | 189 | 129k|  7 |   2 |   0 | 4.015539e+01 | 5.457524e+01 |  35.91%| unknown
 15.1s|  4000 |  3951 |225244 |  56.3 |    44M |  22 | 125 |  37 | 226 | 133k|  9 |   2 |   0 | 4.030662e+01 | 5.457524e+01 |  35.40%| unknown
 15.5s|  4100 |  4049 |231689 |  56.5 |    46M |  22 | 125 |  37 | 230 | 136k| 12 |   2 |   0 | 4.038908e+01 | 5.457524e+01 |  35.12%| unknown
 15.9s|  4200 |  4143 |237437 |  56.5 |    47M |  22 | 125 |  37 | 312 | 140k| 11 |   2 |   0 | 4.042536e+01 | 5.457524e+01 |  35.00%| unknown
 16.3s|  4300 |  4239 |243712 |  56.6 |    48M |  22 | 125 |  37 | 268 | 144k|  9 |   2 |   0 | 4.047443e+01 | 5.457524e+01 |  34.84%|  21.31%
 16.6s|  4400 |  4335 |250107 |  56.8 |    50M |  22 | 125 |  37 | 261 | 147k| 10 |   2 |   0 | 4.059882e+01 | 5.457524e+01 |  34.43%|  21.43%
 17.0s|  4500 |  4433 |256526 |  57.0 |    50M |  22 | 125 |  37 | 222 | 151k|  5 |   2 |   0 | 4.066127e+01 | 5.457524e+01 |  34.22%|  21.50%
 17.3s|  4600 |  4527 |262045 |  56.9 |    50M |  22 | 125 |  37 | 189 | 154k|  1 |   2 |   0 | 4.067532e+01 | 5.457524e+01 |  34.17%|  21.76%
 17.7s|  4700 |  4623 |267459 |  56.9 |    52M |  22 | 125 |  37 | 229 | 157k|  7 |   2 |   0 | 4.068360e+01 | 5.457524e+01 |  34.15%|  21.94%
 18.1s|  4800 |  4719 |273952 |  57.0 |    53M |  22 | 125 |  37 | 273 | 161k| 11 |   2 |   0 | 4.076727e+01 | 5.457524e+01 |  33.87%|  22.13%
 18.5s|  4900 |  4817 |280860 |  57.3 |    53M |  22 | 125 |  37 | 218 | 165k| 10 |   2 |   0 | 4.087170e+01 | 5.457524e+01 |  33.53%|  22.27%
 18.9s|  5000 |  4911 |287350 |  57.4 |    56M |  22 | 125 |  37 | 227 | 169k|  9 |   2 |   0 | 4.089563e+01 | 5.457524e+01 |  33.45%|  22.35%
 19.3s|  5100 |  4999 |293680 |  57.5 |    56M |  22 | 125 |  37 | 213 | 172k| 10 |   2 |   0 | 4.094151e+01 | 5.457524e+01 |  33.30%|  22.56%
 19.7s|  5200 |  5091 |299960 |  57.6 |    57M |  22 | 125 |  37 | 188 | 176k|  1 |   2 |   0 | 4.097524e+01 | 5.457524e+01 |  33.19%|  22.76%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
