solving instance mcf nodes c40 3 6 log
presolving:
(round 1, fast)       248 del vars, 248 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       476 del vars, 248 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, fast)       476 del vars, 248 del conss, 0 add conss, 20 chg bounds, 228 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.4s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.5s) no symmetry present (symcode time: 0.02)
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 476 deleted vars, 248 deleted constraints, 0 added constraints, 20 tightened bounds, 0 added holes, 228 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 45640 variables (0 bin, 0 int, 0 impl, 45640 cont) and 4268 constraints
   4248 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.42

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  806s|  2500 |  2498 |697311 | 268.1 |   291M |  16 |  45k|4268 |4300 |2532 |  2 |   1 |   0 | 9.729295e+03 | 1.424227e+04 |  46.39%| unknown
  824s|  2600 |  2598 |717408 | 265.5 |   292M |  16 |  45k|4268 |4302 |2632 |  2 |   1 |   0 | 9.729295e+03 | 1.424227e+04 |  46.39%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  845s|  2700 |  2698 |744648 | 265.7 |   294M |  16 |  45k|4268 |4301 |2732 |  2 |   1 |   0 | 9.776854e+03 | 1.424227e+04 |  45.67%| unknown
  864s|  2800 |  2798 |767475 | 264.4 |   294M |  16 |  45k|4268 |4301 |2832 |  2 |   1 |   0 | 9.781664e+03 | 1.424227e+04 |  45.60%| unknown
  886s|  2900 |  2898 |795647 | 265.0 |   295M |  16 |  45k|4268 |4298 |2932 |  2 |   1 |   0 | 9.809011e+03 | 1.424227e+04 |  45.20%| unknown
  906s|  3000 |  2998 |821698 | 264.9 |   296M |  17 |  45k|4268 |4306 |3032 |  2 |   1 |   0 | 9.860044e+03 | 1.424227e+04 |  44.44%| unknown
  924s|  3100 |  3098 |844670 | 263.7 |   296M |  18 |  45k|4268 |4300 |3132 |  2 |   1 |   0 | 9.867605e+03 | 1.424227e+04 |  44.33%| unknown
  945s|  3200 |  3198 |872943 | 264.3 |   298M |  18 |  45k|4268 |4302 |3232 |  2 |   1 |   0 | 9.867605e+03 | 1.424227e+04 |  44.33%| unknown
  964s|  3300 |  3298 |896472 | 263.4 |   299M |  18 |  45k|4268 |4299 |3332 |  2 |   1 |   0 | 9.877306e+03 | 1.424227e+04 |  44.19%| unknown
  983s|  3400 |  3398 |921594 | 263.1 |   299M |  18 |  45k|4268 |4303 |3432 |  2 |   1 |   0 | 9.880488e+03 | 1.424227e+04 |  44.15%| unknown
 1002s|  3500 |  3498 |948562 | 263.3 |   300M |  18 |  45k|4268 |4300 |3532 |  2 |   1 |   0 | 9.888118e+03 | 1.424227e+04 |  44.03%| unknown
 1020s|  3600 |  3598 |970195 | 262.0 |   301M |  18 |  45k|4268 |4301 |3632 |  2 |   1 |   0 | 9.888118e+03 | 1.424227e+04 |  44.03%| unknown
 1114s|  3700 |  3698 |999506 | 262.8 |   301M |  18 |  45k|4268 |4301 |3732 |  2 |   1 |   0 | 9.923249e+03 | 1.424227e+04 |  43.52%| unknown
 1132s|  3800 |  3798 |  1023k| 262.1 |   303M |  18 |  45k|4268 |4301 |3832 |  2 |   1 |   0 | 9.931906e+03 | 1.424227e+04 |  43.40%| unknown
 1159s|  3900 |  3898 |  1055k| 263.8 |   304M |  18 |  45k|4268 |4299 |3932 |  2 |   1 |   0 | 9.939015e+03 | 1.424227e+04 |  43.30%| unknown
 1181s|  4000 |  3998 |  1085k| 264.7 |   304M |  18 |  45k|4268 |4300 |4032 |  2 |   1 |   0 | 9.939015e+03 | 1.424227e+04 |  43.30%| unknown
 1199s|  4100 |  4098 |  1109k| 263.9 |   305M |  18 |  45k|4268 |4301 |4132 |  2 |   1 |   0 | 9.957207e+03 | 1.424227e+04 |  43.03%| unknown
