2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance knapsack 50 10 sinabc1
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       50 del vars, 100 del conss, 0 add conss, 50 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       50 del vars, 100 del conss, 0 add conss, 100 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 50 deleted vars, 100 deleted constraints, 0 added constraints, 100 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 100 variables (0 bin, 0 int, 0 impl, 100 cont) and 51 constraints
      1 constraints of type <linear>
     50 constraints of type <nonlinear>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.3s|     1 |     0 |  5885 |     - |  4575k |   0 | 350 |  51 | 533 | 524 | 23 |   0 |   0 |-2.016031e+03 |-1.941147e+03 |   3.86%| unknown
  0.3s|     1 |     0 |  5892 |     - |  4575k |   0 | 350 |  51 | 538 | 529 | 24 |   0 |   0 |-2.016031e+03 |-1.941147e+03 |   3.86%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.4s|     1 |     2 |  5892 |     - |  4593k |   0 | 350 |  51 | 538 | 529 | 26 |   0 |   0 |-2.016031e+03 |-1.941147e+03 |   3.86%| unknown
L 0.4s|     2 |     3 |  6126 |5088.0 |  subnlp|   1 | 350 |  51 | 481 | 727 | 11 |   0 |   0 |-2.016031e+03 |-1.941147e+03 |   3.86%| unknown
L 0.5s|     4 |     5 |  6667 |1876.3 |  subnlp|   3 | 350 |  51 | 518 | 990 | 10 |   0 |   0 |-2.016031e+03 |-1.941147e+03 |   3.86%| unknown
L 0.7s|     8 |     9 |  7383 | 906.4 |  subnlp|   5 | 350 |  51 | 426 |1422 |  8 |   0 |   0 |-2.014490e+03 |-1.941147e+03 |   3.78%| unknown
  1.8s|   100 |   101 | 26108 | 253.2 |  6562k |  13 | 350 |  51 | 550 |8984 |  8 |   0 |   0 |-2.004856e+03 |-1.941147e+03 |   3.28%| unknown
  3.1s|   200 |   201 | 46223 | 227.1 |  8382k |  15 | 350 |  51 | 619 |  16k|  8 |   0 |   0 |-2.000284e+03 |-1.941147e+03 |   3.05%| unknown
  4.3s|   300 |   301 | 65638 | 216.1 |    11M |  15 | 350 |  51 | 726 |  24k| 10 |   0 |   0 |-1.998425e+03 |-1.941147e+03 |   2.95%| unknown
  5.5s|   400 |   401 | 84161 | 208.3 |    12M |  20 | 350 |  51 | 677 |  32k|  8 |   0 |   0 |-1.996037e+03 |-1.941147e+03 |   2.83%| unknown
  6.8s|   500 |   501 |105003 | 208.3 |    14M |  20 | 350 |  51 | 631 |  40k|  7 |   0 |   0 |-1.994577e+03 |-1.941147e+03 |   2.75%| unknown
  8.0s|   600 |   601 |124559 | 206.2 |    16M |  23 | 350 |  51 | 694 |  49k|  9 |   0 |   0 |-1.992877e+03 |-1.941147e+03 |   2.66%| unknown
  9.3s|   700 |   699 |145536 | 206.7 |    18M |  23 | 350 |  51 | 622 |  59k|  5 |   0 |   0 |-1.991366e+03 |-1.941147e+03 |   2.59%| unknown
 10.6s|   800 |   791 |166241 | 206.8 |    21M |  23 | 350 |  51 | 624 |  69k|  9 |   0 |   0 |-1.990001e+03 |-1.941147e+03 |   2.52%| unknown
 11.9s|   900 |   889 |186647 | 206.5 |    24M |  23 | 350 |  51 | 568 |  78k|  4 |   0 |   0 |-1.988933e+03 |-1.941147e+03 |   2.46%| unknown
d13.1s|   991 |   976 |203868 | 204.9 |adaptive|  25 | 350 |  51 | 702 |  86k| 10 |   0 |   0 |-1.987893e+03 |-1.941984e+03 |   2.36%| unknown
 13.2s|  1000 |   985 |205854 | 205.0 |    24M |  25 | 350 |  51 | 717 |  87k|  5 |   0 |   0 |-1.987893e+03 |-1.941984e+03 |   2.36%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
