solving instance knapsack 200 8 sincos
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       200 del vars, 400 del conss, 0 add conss, 200 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       200 del vars, 400 del conss, 0 add conss, 400 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 200 deleted vars, 400 deleted constraints, 0 added constraints, 400 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 400 variables (0 bin, 0 int, 0 impl, 400 cont) and 201 constraints
      1 constraints of type <linear>
    200 constraints of type <nonlinear>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 36.2s|  1400 |  1401 | 37210 |  25.5 |    34M |  29 |1400 | 201 |1097 |  23k|  6 |   0 |   0 |-7.290288e+03 |-6.494132e+03 |  12.26%| unknown
 38.9s|  1500 |  1501 | 40432 |  25.9 |    35M |  29 |1400 | 201 |1130 |  25k|  2 |   0 |   0 |-7.290288e+03 |-6.494132e+03 |  12.26%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 41.1s|  1600 |  1601 | 42473 |  25.6 |    35M |  29 |1400 | 201 |1086 |  26k|  6 |   0 |   0 |-7.290021e+03 |-6.494132e+03 |  12.26%| unknown
 43.4s|  1700 |  1701 | 44851 |  25.5 |    37M |  29 |1400 | 201 |1100 |  28k|  7 |   0 |   0 |-7.288913e+03 |-6.494132e+03 |  12.24%| unknown
 45.4s|  1800 |  1801 | 46488 |  25.0 |    38M |  29 |1400 | 201 |1116 |  29k|  3 |   0 |   0 |-7.288444e+03 |-6.494132e+03 |  12.23%| unknown
 47.6s|  1900 |  1901 | 48555 |  24.8 |    38M |  29 |1400 | 201 |1081 |  31k|  3 |   0 |   0 |-7.286655e+03 |-6.494132e+03 |  12.20%| unknown
 50.0s|  2000 |  2001 | 50908 |  24.7 |    39M |  29 |1400 | 201 |1116 |  33k|  3 |   0 |   0 |-7.285841e+03 |-6.494132e+03 |  12.19%| unknown
 52.5s|  2100 |  2101 | 53382 |  24.7 |    39M |  29 |1400 | 201 |1152 |  34k|  3 |   0 |   0 |-7.285507e+03 |-6.494132e+03 |  12.19%| unknown
 54.8s|  2200 |  2201 | 55619 |  24.6 |    40M |  29 |1400 | 201 |1082 |  36k|  3 |   0 |   0 |-7.285507e+03 |-6.494132e+03 |  12.19%| unknown
 57.0s|  2300 |  2301 | 57506 |  24.3 |    42M |  29 |1400 | 201 |1090 |  38k|  3 |   0 |   0 |-7.284184e+03 |-6.494132e+03 |  12.17%| unknown
 59.2s|  2400 |  2401 | 59886 |  24.3 |    42M |  29 |1400 | 201 |1160 |  39k|  7 |   0 |   0 |-7.283395e+03 |-6.494132e+03 |  12.15%| unknown
 61.5s|  2500 |  2501 | 62108 |  24.2 |    43M |  29 |1400 | 201 |1152 |  41k|  6 |   0 |   0 |-7.282602e+03 |-6.494132e+03 |  12.14%| unknown
 63.7s|  2600 |  2601 | 64239 |  24.1 |    43M |  29 |1400 | 201 |1094 |  43k|  8 |   0 |   0 |-7.281769e+03 |-6.494132e+03 |  12.13%| unknown
 66.0s|  2700 |  2701 | 66650 |  24.1 |    44M |  29 |1400 | 201 |1051 |  44k|  7 |   0 |   0 |-7.280787e+03 |-6.494132e+03 |  12.11%| unknown
 68.5s|  2800 |  2801 | 69353 |  24.2 |    45M |  29 |1400 | 201 |1094 |  46k| 11 |   0 |   0 |-7.280248e+03 |-6.494132e+03 |  12.11%| unknown
 70.7s|  2900 |  2901 | 71537 |  24.1 |    46M |  29 |1400 | 201 |1166 |  48k|  6 |   0 |   0 |-7.279997e+03 |-6.494132e+03 |  12.10%| unknown
 73.2s|  3000 |  3001 | 73965 |  24.1 |    47M |  29 |1400 | 201 |1132 |  49k|  7 |   0 |   0 |-7.278262e+03 |-6.494132e+03 |  12.07%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 75.5s|  3100 |  3101 | 76601 |  24.2 |    47M |  29 |1400 | 201 |1103 |  51k|  7 |   0 |   0 |-7.277316e+03 |-6.494132e+03 |  12.06%| unknown
 78.0s|  3200 |  3201 | 79432 |  24.3 |    47M |  29 |1400 | 201 |1093 |  53k|  3 |   0 |   0 |-7.277316e+03 |-6.494132e+03 |  12.06%| unknown
